DATE,DEXUSEU
26/11/2013,1.3555
27/11/2013,1.3563
28/11/2013,1.3563
29/11/2013,1.3606
2/12/2013,1.3552
3/12/2013,1.3604
4/12/2013,1.3555
5/12/2013,1.3664
6/12/2013,1.369
9/12/2013,1.3726
10/12/2013,1.3765
11/12/2013,1.3798
12/12/2013,1.3752
13/12/2013,1.3724
16/12/2013,1.3757
17/12/2013,1.3748
18/12/2013,1.3766
19/12/2013,1.3666
20/12/2013,1.3673
23/12/2013,1.3701
24/12/2013,1.3676
25/12/2013,1.3676
26/12/2013,1.369
27/12/2013,1.3766
30/12/2013,1.3816
31/12/2013,1.3779
1/1/2014,1.3779
2/1/2014,1.367
3/1/2014,1.3606
6/1/2014,1.3636
7/1/2014,1.3618
8/1/2014,1.3586
9/1/2014,1.3591
10/1/2014,1.3664
13/01/2014,1.3647
14/01/2014,1.3682
15/01/2014,1.3604
16/01/2014,1.36
17/01/2014,1.3554
20/01/2014,1.3554
21/01/2014,1.356
22/01/2014,1.3546
23/01/2014,1.368
24/01/2014,1.368
27/01/2014,1.3679
28/01/2014,1.3662
29/01/2014,1.3663
30/01/2014,1.3549
31/01/2014,1.35
3/2/2014,1.3523
4/2/2014,1.3507
5/2/2014,1.3519
6/2/2014,1.3604
7/2/2014,1.3614
10/2/2014,1.3644
11/2/2014,1.3654
12/2/2014,1.3592
13/02/2014,1.3669
14/02/2014,1.369
17/02/2014,1.369
18/02/2014,1.3758
19/02/2014,1.3762
20/02/2014,1.369
21/02/2014,1.3722
24/02/2014,1.3744
25/02/2014,1.3749
26/02/2014,1.3668
27/02/2014,1.3724
28/02/2014,1.3806
3/3/2014,1.3763
4/3/2014,1.3731
5/3/2014,1.3734
6/3/2014,1.3848
7/3/2014,1.3868
10/3/2014,1.388
11/3/2014,1.3867
12/3/2014,1.3904
13/03/2014,1.3927
14/03/2014,1.3924
17/03/2014,1.3927
18/03/2014,1.3913
19/03/2014,1.391
20/03/2014,1.3784
21/03/2014,1.3783
24/03/2014,1.3784
25/03/2014,1.3777
26/03/2014,1.3786
27/03/2014,1.3752
28/03/2014,1.3753
31/03/2014,1.3777
1/4/2014,1.3804
2/4/2014,1.3761
3/4/2014,1.3708
4/4/2014,1.3704
7/4/2014,1.3745
8/4/2014,1.3802
9/4/2014,1.3816
10/4/2014,1.3892
11/4/2014,1.3898
14/04/2014,1.3824
15/04/2014,1.3806
16/04/2014,1.382
17/04/2014,1.3832
18/04/2014,1.3816
21/04/2014,1.379
22/04/2014,1.3804
23/04/2014,1.3814
24/04/2014,1.3828
25/04/2014,1.3838
28/04/2014,1.3844
29/04/2014,1.3808
30/04/2014,1.387
1/5/2014,1.3867
2/5/2014,1.3864
5/5/2014,1.3884
6/5/2014,1.3924
7/5/2014,1.3917
8/5/2014,1.3864
9/5/2014,1.3763
12/5/2014,1.376
13/05/2014,1.3711
14/05/2014,1.3718
15/05/2014,1.3712
16/05/2014,1.3708
19/05/2014,1.3716
20/05/2014,1.3702
21/05/2014,1.3657
22/05/2014,1.3652
23/05/2014,1.3628
26/05/2014,1.3628
27/05/2014,1.3618
28/05/2014,1.3596
29/05/2014,1.3608
30/05/2014,1.364
2/6/2014,1.3606
3/6/2014,1.3624
4/6/2014,1.3619
5/6/2014,1.3618
6/6/2014,1.3639
9/6/2014,1.3589
10/6/2014,1.3543
11/6/2014,1.3532
12/6/2014,1.3556
13/06/2014,1.3522
16/06/2014,1.3578
17/06/2014,1.3543
18/06/2014,1.3567
19/06/2014,1.362
20/06/2014,1.3586
23/06/2014,1.3593
24/06/2014,1.3588
25/06/2014,1.3638
26/06/2014,1.361
27/06/2014,1.3631
30/06/2014,1.369
1/7/2014,1.3681
2/7/2014,1.3656
3/7/2014,1.361
4/7/2014,1.361
7/7/2014,1.3604
8/7/2014,1.3614
9/7/2014,1.363
10/7/2014,1.36
11/7/2014,1.3598
14/07/2014,1.362
15/07/2014,1.3573
16/07/2014,1.353
17/07/2014,1.353
18/07/2014,1.3515
21/07/2014,1.3524
22/07/2014,1.347
23/07/2014,1.3462
24/07/2014,1.3468
25/07/2014,1.3431
28/07/2014,1.344
29/07/2014,1.341
30/07/2014,1.3378
31/07/2014,1.339
1/8/2014,1.3436
4/8/2014,1.3414
5/8/2014,1.3366
6/8/2014,1.3355
7/8/2014,1.3362
8/8/2014,1.3412
11/8/2014,1.3385
12/8/2014,1.3357
13/08/2014,1.3367
14/08/2014,1.3376
15/08/2014,1.3392
18/08/2014,1.3358
19/08/2014,1.332
20/08/2014,1.3284
21/08/2014,1.3284
22/08/2014,1.3237
25/08/2014,1.3206
26/08/2014,1.3189
